NOTA;GRUPO
0;GV / PF PJ /WEB/MADURO
0;GV / PF PJ /WEB/CHURN
5;GV / PF /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
1;GV / PF PJ /WEB/MADURO
5;GV / PF PJ /WEB/MADURO
3;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
10;GV / PF /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
2;GV / PF /WEB/MADURO
4;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
1;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
3;GV / PF /WEB/MADURO
5;GV / PF PJ /WEB/CHURN
10;GV / PF /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
6;GV / PF PJ /WEB/MADURO
1;GV / PF PJ /WEB/CHURN
8;GV / PF PJ /WEB/MADURO
10;GV / PF /WEB/MADURO
10;GV / PF PJ /WEB/CHURN
7;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
0;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
6;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/CHURN
5;GV / PF PJ /WEB/MADURO
5;GV / PF /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
4;GV / PF /WEB/MADURO
9;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/MADURO
8;GV / PF /WEB/MADURO
6;GV / PF /WEB/MADURO
10;GV / PF PJ /WEB/NOVATO
10;GV / PF PJ /WEB/CHURN
9;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/CHURN
4;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/NOVATO
8;GV / PF PJ /WEB/MADURO
0;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
1;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
0;GV / PF PJ /WEB/CHURN
5;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
6;GV / PF PJ /WEB/CHURN
7;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
4;GV / PF /WEB/MADURO
10;GV / PF /WEB/MADURO
9;GV / PF PJ /WEB/NOVATO
8;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/NOVATO
7;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/NOVATO
1;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/CHURN
4;GV / PF PJ /WEB/NOVATO
5;GV / PF /WEB/MADURO
3;GV / PF PJ /WEB/CHURN
9;GV / PF PJ /WEB/MADURO
10;GV / PF /WEB/MADURO
0;GV / PF PJ /WEB/MADURO
5;GV / PF PJ /WEB/CHURN
7;GV / PF PJ /WEB/MADURO
7;GV / PF /WEB/MADURO
9;GV / PF PJ /WEB/CHURN
0;GV / PF PJ /WEB/CHURN
6;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
10;GV / PF /WEB/MADURO
5;GV / PF /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
5;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/CHURN
7;GV / PF PJ /WEB/NOVATO
8;GV / PF /WEB/MADURO
10;GV / PF PJ /WEB/CHURN
7;GV / PF /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
10;GV / PF /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/CHURN
10;GV / PF /WEB/MADURO
6;GV / PF PJ /WEB/MADURO
7;GV / PF /WEB/MADURO
6;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/CHURN
8;GV / PF PJ /WEB/MADURO
3;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/CHURN
7;GV / PF /WEB/MADURO
7;GV / PF /WEB/MADURO
0;GV / PF /WEB/MADURO
9;GV / PF /WEB/MADURO
8;GV / PF /WEB/MADURO
10;GV / PF PJ /WEB/CHURN
7;GV / PF PJ /WEB/MADURO
3;GV / PF PJ /WEB/MADURO
10;GV / PF PJ /WEB/CHURN
10;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
3;GV / PF /WEB/MADURO
5;GV / PF /WEB/MADURO
10;GV / PF /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
8;GV / PF PJ /WEB/MADURO
6;GV / PF PJ /WEB/NOVATO
5;GV / PF PJ /WEB/MADURO
0;GV / PF PJ /WEB/MADURO
9;GV / PF PJ /WEB/MADURO
10;GV / PF /WEB/MADURO
10;GV / PF /WEB/MADURO
7;GV / PF PJ /WEB/MADURO
5;LONG TAIL / PF / WEB / MADURO
7;LONG TAIL / PF / WEB / MADURO
7;LONG TAIL / PJ / WEB / NOVATO
8;LONG TAIL / PF / WEB / MADURO
5;LONG TAIL / PJ / WEB / CHURN
7;LONG TAIL / PF / WEB / CHURN
8;LONG TAIL / PF / WEB / CHURN
0;LONG TAIL / PJ / WEB / CHURN
6;LONG TAIL / PJ / WEB / NOVATO
9;LONG TAIL / PF / WEB / CHURN
0;LONG TAIL / PF / WEB / MADURO
8;LONG TAIL / PF / WEB / CHURN
10;LONG TAIL / PF / WEB / CHURN
7;LONG TAIL / PJ / WEB / MADURO
5;LONG TAIL / PJ / WEB / MADURO
10;LONG TAIL / PF / WEB / MADURO
9;LONG TAIL / PF / WEB / MADURO
9;LONG TAIL / PF / WEB / MADURO
9;LONG TAIL / PF / WEB / CHURN
5;LONG TAIL / PJ / WEB / MADURO
6;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / CHURN
6;LONG TAIL / PF / WEB / CHURN
7;LONG TAIL / PJ / WEB / CHURN
8;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / CHURN
6;LONG TAIL / PJ / WEB / NOVATO
10;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / CHURN
8;LONG TAIL / PF / WEB / CHURN
3;LONG TAIL / PF / WEB / MADURO
8;LONG TAIL / PF / WEB / MADURO
0;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / MADURO
8;LONG TAIL / PJ / WEB / NOVATO
10;LONG TAIL / PF / WEB / NOVATO
10;LONG TAIL / PF / WEB / CHURN
5;LONG TAIL / PJ / WEB / NOVATO
7;LONG TAIL / PF / WEB / CHURN
8;LONG TAIL / PF / WEB / MADURO
9;LONG TAIL / PF / WEB / CHURN
6;LONG TAIL / PJ / WEB / CHURN
9;LONG TAIL / PJ / WEB / NOVATO
10;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / CHURN
1;LONG TAIL / PF / WEB / CHURN
5;LONG TAIL / PF / WEB / MADURO
8;LONG TAIL / PJ / WEB / CHURN
10;LONG TAIL / PJ / WEB / NOVATO
6;LONG TAIL / PJ / WEB / MADURO
7;LONG TAIL / PF / WEB / CHURN
8;LONG TAIL / PJ / WEB / CHURN
5;LONG TAIL / PF / WEB / CHURN
5;LONG TAIL / PF / WEB / NOVATO
10;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PJ / WEB / CHURN
10;LONG TAIL / PF / WEB / CHURN
8;LONG TAIL / PJ / WEB / CHURN
7;LONG TAIL / PF / WEB / MADURO
8;LONG TAIL / PF / WEB / MADURO
8;LONG TAIL / PJ / WEB / CHURN
7;LONG TAIL / PF / WEB / CHURN
10;LONG TAIL / PF / WEB / CHURN
8;LONG TAIL / PF / WEB / CHURN
10;LONG TAIL / PF / WEB / MADURO
8;LONG TAIL / PJ / WEB / NOVATO
10;LONG TAIL / PJ / WEB / CHURN
8;LONG TAIL / PJ / WEB / MADURO
5;LONG TAIL / PF / WEB / CHURN
0;LONG TAIL / PF / WEB / MADURO
9;LONG TAIL / PJ / WEB / MADURO
10;LONG TAIL / PF / WEB / CHURN
8;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PJ / WEB / MADURO
10;LONG TAIL / PF / WEB / CHURN
4;LONG TAIL / PF / WEB / MADURO
6;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PJ / WEB / NOVATO
10;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / CHURN
6;LONG TAIL / PF / WEB / MADURO
8;LONG TAIL / PJ / WEB / CHURN
9;LONG TAIL / PF / WEB / NOVATO
10;LONG TAIL / PF / WEB / CHURN
6;LONG TAIL / PF / WEB / MADURO
8;LONG TAIL / PF / WEB / CHURN
10;LONG TAIL / PF / WEB / MADURO
9;LONG TAIL / PJ / WEB / CHURN
9;LONG TAIL / PJ / WEB / CHURN
7;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / CHURN
10;LONG TAIL / PF / WEB / MADURO
9;LONG TAIL / PF / WEB / MADURO
7;LONG TAIL / PF / WEB / CHURN
9;LONG TAIL / PF / WEB / CHURN
9;LONG TAIL / PJ / WEB / MADURO
10;LONG TAIL / PF / WEB / CHURN
8;LONG TAIL / PF / WEB / CHURN
8;LONG TAIL / PF / WEB / MADURO
6;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PF / WEB / NOVATO
8;LONG TAIL / PF / WEB / NOVATO
10;LONG TAIL / PF / WEB / MADURO
6;LONG TAIL / PF / WEB / MADURO
2;LONG TAIL / PF / WEB / MADURO
10;LONG TAIL / PJ / WEB / MADURO
8;LONG TAIL / PJ / WEB / NOVATO
3;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
5;GV / PF /MOBILE /CHURN
9;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
8;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
0;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
3;GV / PJ /MOBILE /MADURO
0;GV / PJ /MOBILE /NOVATO
8;GV / PJ /MOBILE /CHURN
8;GV / PJ /MOBILE /NOVATO
9;GV / PJ /MOBILE /MADURO
1;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
0;GV / PF /MOBILE /NOVATO
5;GV / PJ /MOBILE /NOVATO
8;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
7;GV / PF /MOBILE /NOVATO
8;GV / PF /MOBILE /CHURN
8;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /CHURN
7;GV / PJ /MOBILE /CHURN
9;GV / PF /MOBILE /CHURN
7;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /NOVATO
8;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /CHURN
6;GV / PJ /MOBILE /CHURN
10;GV / PJ /MOBILE /NOVATO
5;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
0;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /CHURN
10;GV / PF /MOBILE /MADURO
5;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /NOVATO
8;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
5;GV / PF /MOBILE /MADURO
9;GV / PJ /MOBILE /NOVATO
9;GV / PF /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
8;GV / PJ /MOBILE /MADURO
5;GV / PF /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
8;GV / PJ /MOBILE /NOVATO
7;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /CHURN
8;GV / PJ /MOBILE /NOVATO
1;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
5;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
5;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
0;GV / PF /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
0;GV / PJ /MOBILE /CHURN
8;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /CHURN
10;GV / PJ /MOBILE /CHURN
9;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /CHURN
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /CHURN
10;GV / PF /MOBILE /NOVATO
7;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /NOVATO
5;GV / PJ /MOBILE /MADURO
3;GV / PJ /MOBILE /CHURN
8;GV / PF /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
5;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
0;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /CHURN
7;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /NOVATO
9;GV / PJ /MOBILE /MADURO
0;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
2;GV / PF /MOBILE /MADURO
2;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
6;GV / PJ /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
4;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /CHURN
10;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /NOVATO
8;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /CHURN
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
8;GV / PJ /MOBILE /MADURO
2;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /CHURN
8;GV / PJ /MOBILE /NOVATO
10;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /NOVATO
10;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /NOVATO
8;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
3;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
2;GV / PF /MOBILE /MADURO
1;GV / PJ /MOBILE /CHURN
10;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
5;GV / PF /MOBILE /CHURN
7;GV / PJ /MOBILE /MADURO
3;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
5;GV / PF /MOBILE /NOVATO
9;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
3;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /CHURN
10;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
9;GV / PF /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /NOVATO
5;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
10;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
1;GV / PF /MOBILE /MADURO
9;GV / PF /MOBILE /MADURO
5;GV / PF /MOBILE /CHURN
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
6;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
3;GV / PJ /MOBILE /MADURO
4;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
6;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
3;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
5;GV / PJ /MOBILE /MADURO
1;GV / PJ /MOBILE /NOVATO
10;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
3;GV / PF /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /NOVATO
9;GV / PF /MOBILE /NOVATO
0;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /NOVATO
10;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
5;GV / PJ /MOBILE /NOVATO
7;GV / PJ /MOBILE /MADURO
6;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
5;GV / PJ /MOBILE /MADURO
7;GV / PF /MOBILE /CHURN
9;GV / PF /MOBILE /CHURN
10;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
4;GV / PJ /MOBILE /MADURO
5;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
6;GV / PF /MOBILE /MADURO
9;GV / PJ /MOBILE /CHURN
10;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
4;GV / PF /MOBILE /CHURN
10;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /NOVATO
9;GV / PJ /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /CHURN
1;GV / PJ /MOBILE /CHURN
9;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /NOVATO
10;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /MADURO
0;GV / PJ /MOBILE /MADURO
6;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
9;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /CHURN
10;GV / PF /MOBILE /NOVATO
9;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /CHURN
7;GV / PJ /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
0;GV / PJ /MOBILE /MADURO
5;GV / PJ /MOBILE /NOVATO
8;GV / PF /MOBILE /MADURO
8;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /CHURN
9;GV / PJ /MOBILE /NOVATO
8;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /NOVATO
4;GV / PF /MOBILE /NOVATO
4;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
4;GV / PJ /MOBILE /CHURN
10;GV / PJ /MOBILE /MADURO
0;GV / PJ /MOBILE /CHURN
7;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /NOVATO
9;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /NOVATO
5;GV / PJ /MOBILE /CHURN
8;GV / PJ /MOBILE /NOVATO
9;GV / PF /MOBILE /MADURO
4;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /CHURN
8;GV / PJ /MOBILE /CHURN
9;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
0;GV / PF /MOBILE /CHURN
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
4;GV / PF /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
7;GV / PF /MOBILE /MADURO
9;GV / PF /MOBILE /MADURO
7;GV / PJ /MOBILE /NOVATO
9;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /CHURN
6;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /NOVATO
10;GV / PJ /MOBILE /MADURO
1;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /NOVATO
10;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
0;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
5;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
9;GV / PF /MOBILE /MADURO
9;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
7;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /CHURN
8;GV / PJ /MOBILE /NOVATO
10;GV / PF /MOBILE /NOVATO
10;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /CHURN
9;GV / PJ /MOBILE /NOVATO
6;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /CHURN
0;GV / PJ /MOBILE /NOVATO
3;GV / PF /MOBILE /CHURN
0;GV / PF /MOBILE /MADURO
6;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /CHURN
10;GV / PF /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
6;GV / PJ /MOBILE /NOVATO
8;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /MADURO
9;GV / PJ /MOBILE /MADURO
10;GV / PF /MOBILE /MADURO
10;GV / PJ /MOBILE /NOVATO
7;GV / PJ /MOBILE /MADURO
6;GV / PJ /MOBILE /MADURO
8;GV / PJ /MOBILE /MADURO
9;GV / PF /MOBILE /MADURO
